StampID;ArtifactID;StampPosition;StampPreservation;StampPreservationComment;StampReliefType;StampContentType;StampShapeType;StampAxisLarge;StampAxisSmall;StampOriginType;StampNameMagist;StampNameFabric;StampLegend;StampLegendComment;StampEmblem;StampDateText;StampDateEarly;StampDateLate;StampGroupFinkelstein;StampGroupGarlan;XImageLink300px;XImageLink1000px;ZImageLink300px;ZImageLink1000px;GImageLink300px;GImageLink1000px;StampComment;StampPublished
88;88;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;33;12;;;;"ΚΡΑΤΙΔ[ΟΥ] ΣΜΙΝΘΙΟΥ";;нет;189-182 гг. до н.э.;-198;-182;III (b);;SF0316;SF0316;;;;;"По полю клейма видны следы выщерблен от деревянного штемпеля.  III (b) хр. группа по Г. Финкильштейну. 189-182 гг. до н.э.";
89;89;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;22;21;;;;"[ΑΣΤΥΝΟΜΟ]ΥΝΤΟΣ [.......]ΤΟΥ [.......]Υ [......]";;гроздь винограда;90-40-е гг. III в. до н.э.;-300;-240;;;SF0324;SF0324;;;;;"Клеймо фрагментировано. не определяется.  90-40-е гг. III в. до н.э.";
90;90;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;35;15;фабрикантское;;;ΑΡΙΣΤΟ[ΚΡΑΤ]ΕΥΣ;;По четырем углам клейма – крестики.;198-161 гг. до н.э.;-198;-161;III;;SF0140;SF0140;;;;;III хр. группа по Г. Финкильштейну. 198-161 гг. до н.э.;
91;91;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;33;14;фабрикантское;;;"ΧΑΡ[ΗΤΟΣ] ΚΑΡΝ[ΕΙΟΥ]";;нет;294-199 гг. до н.э.;-294;-199;I-II;;SF0322;SF0322;;;;;"Клеймо фабрикантское с указанием месяца.   I-II хр. группы по Г. Финкильштейну. 294-199 гг. до н.э.  Первая половина III в. до н.э. по Д.Б. Шелову.";
92;92;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;37;14;фабрикантское;;;Σ[ΩΚΡΑΤΕΥ]Σ;;факел;198-161 гг. до н.э.;-198;-161;III;;SF0323;SF0323;;;;;III хр. группа по Г. Финкильштейну. 198-161 гг. до н.э.;
93;93;горло;неполная;фото;позитивное;анэпиграфное;овальное;13;13;;;;нет;;пальметта;IV в. до н.э.;-400;-300;;;SF0319;SF0319;;;;;оттиск перстня (?) в овальном поле. Всё поле занимает изображение пальметты.;
94;94;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;47;18;;;;"ΕΠΙ ΕΝΔΗ ΕΠΙΚΡΑΤΕ";;орёл на дельфине;Около 375 г. до н.э.;-376;-374;;I-В МГ;SF0132;SF0132;;;;;I-В МГ по И. Гарлану. Около 375 г. до н.э. по Н.Ф. Федосееву.;
95;95;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;31;14;фабрикантское;;;"ΠΑΣΙΩΝ ΥΑΚΙΝΘΙ";;нет;160-146 гг. до н.э.;-160;-146;IV;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0120X.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0120X.png;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0120Z.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0120Z.png;;;"Прямоугольное поле в двойной точечной рамке. Клеймо фабрикантское с указанием месяца.  IV хр. группа по Г. Финкильштейну – 160-146 гг. до н.э.";
96;96;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;30;16;;;;"Е[........] ΣΜ[ΙΝΘΙΟΥ]";;нет;Первая половина – середина III в. до н.э.;-260;-200;;;SF0344;SF0344;;;;;Клеймо повреждено. не определяется. восстанавливается только обозначение месяца.;
97;97;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;38;15;;;;"ΕΠΙ ΑΙΝΗΣΙΔΑ ΜΟΥ ΥΑ[ΚΙΝΘΙΟΥ]";;нет;181-176 гг. до н.э.;-181;-176;III (c);;SF0136;SF0136;;;;;III (c) хр. группа по Г. Финкильштейну 181-176 гг. до н.э.;
98;98;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;34;15;;;;"ΕΠΙ ΔΑΜΟΘΕ(ΜΙΟΣ) ΠΑΝΑΜΟΥ";;нет;198-190 гг. до н.э.;-198;-190;III (а);;SF0130;SF0130;;;;;III (а) хр. группа по Г. Финкильштейну 198-190 гг. до н.э.;
99;99;ручка;полная;фото;позитивное;эпиграфное;округлое;30;30;;;;Ν[ΙΚΑ]ΣΙΩΝ[ΟΣ];;якорь и цветок граната;200-170 гг. до н.э.;-200;-170;;;SF0231;SF0231;;;;;200-170 гг. до н.э. по Д. Б. Шелову.;
100;100;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;40;7;;;;ΘΕΥ[Δ]ΩΡΟΥ;;нет;III-II вв. до н.э.;-300;-100;;;SF0228;SF0228;;;;;;
101;101;ручка;неполная;фото;позитивное;эпиграфное;округлое;35;35;;;;не определяется;;цветок граната;Вторая половина III – начало II вв. до н.э.;-250;-100;;;SF0223;SF0223;;;;;Клеймо повреждено. не определяется.;
102;102;горло;неполная;фото;негативное;эпиграфное;без рамки;24;10;;;;"[.....] [.....] ΕΑ [..]";;нет;IV в. до н.э.;-400;-300;;;SF0345;SF0345;;;;;"Клеймо фрагментировано. не определяется. IV в. до н.э.";
103;103;горло;полная;фото;негативное;эпиграфное;без рамки;36;21;;;;М;;нет;III-II вв. до н.э. (?);-300;-100;;;SF0135;SF0135;;;;;Прочерчена по сырой глине гончарная метка-клеймо (?) в виде буквы «мю».;
104;104;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;40;15;;;;"ΕΠ[Ι ΑΙΝΗΣ]ΙΔΑΜΟΥ ΘΕΣΜΟΦΟΡΙΟΥ";;нет;181-176 гг. до н.э.;-181;-176;III (с);;SF0216;SF0216;;;;;"Клеймо эпонимное с указанием месяца.  III (с) - хр. группа по Г. Финкильштейну. 181-176 гг. до н.э.";
105;105;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;22;16;;;;"[........] [.]ΡΩ[...] ΣΤΕ[ΦΑΝΟΥ]";;нет;III в. до н.э.;-300;-200;;;SF0235;SF0235;;;;;Клеймо фрагментировано. не определяется.;
106;106;ручка;полная;фото;позитивное;анэпиграфное;без рамки;28;19;;;;нет;;бык;Конец V в. до н.э.;-410;-400;;;SF0213;SF0213;;;;;"Группа «протоклейм». Конец V в. до н.э.";
107;107;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;42;24;;;;"Ν[ΙΚΑΣΙ]ΜΑΧΟΣ ΔΑΜΟΣΘΕΝΙΟΣ";;нет;215-166 гг. до н.э.;-215;-166;;;SF0217;SF0217;;;;;IV хр. группа по Н.В. Ефремову 215-166 гг. до н.э.;
108;108;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;38;16;;;;"ΕΠΙ ΔΑΜΟ ΘΕΜΙΟΣ";;нет;198-190 гг. до н.э.;-198;-190;III (а);;SF0199;SF0199;;;;;III (а) хр. группа по Г. Финкильштейну 198-190 гг. до н.э.;
109;109;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;56;21;;;;"[ΚΕΡΑΜΕΩΣ] ΠΟΣΕΙΔΩΝΙΟΣ [ΤΟΥ] ΝΟΥΜΗΝΙ[ΟΥ]";;гроздь на ветке;Вторая половина IV в. до н.э.;-350;-300;;;SF0205;SF0205;;;;;Клеймо гончарное – вторая половина IV в. до н.э.;
110;110;горло;неполная;фото;негативное;эпиграфное;подпрямоугольное;50;20;;;;"[ΔΙΟΝΥΣΙ]ΟΥ(?) [ΕΠΙ ΠΕΙΣΙ]ΣΤΡ(ΑΤΟΥ)";;нет;20-е гг.- последнее десятилетие IV в. до н.э.;-320;-300;;;SF0346;SF0346;;;;;"Имя магистрата в сокращении.  VМГ (А) - по В.И. Кацу. 20-е гг.- последнее десятилетие IV в. до н.э.";
111;111;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;22;21;;;;Е;;нет;Рубеж IV-III вв. до н.э.;-310;-290;;;SF0173;SF0173;;;;;Клеймо гончарное.;
112;112;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;32;15;;;;"[ΜΙΚΡΙΟΥ ΑΣΤΥΝΟ]  ΜΟΥΝ ΜΟΥΝΤ[ΟΣ] ΘΥΟΣ";;нет;307-300 гг. до н.э.;-307;-300;;IVС;SF0197;SF0197;;;;;"Двойной оттиск одного штампа.  Хр. группа IVС по И. Гарлану. 307-300 гг. до н.э. по Н.Ф. Федосееву.";
113;113;горло;полная;фото;негативное;эпиграфное;подпрямоугольное;40;28;;;;"ΗΡΑΕ ΔΕΝ";;нет;80-70 гг. IV в. до н.э.;-390;-370;;;SF0138;SF0138;;;;;"Нижняя строка ретроградно. оттиснута другим (?) штемпелем. Клеймо магистрата Диномаха.  II МГ(Б) по В.И. Кацу – 80-70 гг. IV в. до н.э.";
114;114;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;39;22;;;;"[ΔΙΟΝ]ΥΣΙΟΥ [ΑΣΤΥ]ΝΟ [ΔΙΟΝΥ]ΣΙΟΥ";;справа – две эмблемы: астиномная - венок с буквой «дельта» в центре. и гончарная – раковина.;340-330 гг. до н.э.;-340;-330;;;SF0141;SF0141;;;;;"Клеймо астинома Дионисия (2).   340-330 гг. до н.э. по Н.Ф. Федосееву.";
115;115;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;34;26;;;;не определяется;;нет;Вторая половина IV-III вв. до н.э.;-350;-200;;;SF0290;SF0290;;;;;Клеймо фрагментировано. сильно повреждено. легенда не читается.;
116;116;ручка;полная;фото;позитивное;эпиграфное;округлое;15;13;;;;Α│Δ│.│.│;;нет;80-70-конец 30-х гг. IV в. до н.э.;-380;-335;;;SF0147;SF0147;;;;;;
117;117;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;34;23;;;;[Θασίων│Πυθό│λεως│Πρωτίων];;коза в центре;344-конец 30-х гг. IV в. до н.э.;-344;-335;;;SF0150;SF0150;;;;;Восстановление легенды по аналогии: Carlan. 1999. № 892. 344-конец 30-х гг. IV в. до н.э.;
118;118;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;38;22;;;;"[̓Επιέλ]που [ὰστ]υνό(μου)↓ раковина. ↓гроздь [Διον]υσίο";;справа две эмблемы - раковина и гроздь.;ок. 330 г. до н.э.;-331;-329;;;SF0149;SF0149;;;;;ок. 330 г. до н.э. по Н.Ф. Федосееву.;
119;119;ручка;полная;фото;негативное;эпиграфное;без рамки;18;8;;;;Δ;;нет;IV в. до н.э.;-400;-300;;;SF0148;SF0148;;;;;;
120;120;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;21;18;;;;ΦΙΛΟΚΡΑΤΗ(Σ);;прора;305-280 гг. до н.э.;-305;-280;;;SF0292;SF0292;;;;;"305-280 гг. до н.э.  I-хр. группа по Н.В. Ефремову.";
121;121;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;35;11;;;;"ΕΠΙ ΑΡΧΟΚΡΑΤ(Ε) ΥΣ ΙΑΚΥΝΘΙΟΥ";;нет;189-182 гг. до н.э.;-189;-182;III b;;SF0259;SF0259;;;;;"Клеймо эпонимное с указанием месяца. 189-182 гг. до н.э. III b-хр. группа по Г. Финкильштайну.";
122;122;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;45;14;;;;"[ΕΠΙ ΤΙΜΑΣΑ]ΓΟΡΑ Δ[ΑΛΙ]ΟΥ";;нет;142-141 гг. до н.э.;-142;-141;V(a);;SF0257;SF0257;;;;;"Эпоним Τεισαγόρας  V(a)-хр. группа по Г. Финкильштайну.";
123;123;ручка;полная;фото;позитивное;эпиграфное;округлое;32;28;фабрикантское;;;[Α]ΡΙΣΤΟΚ[ΛΕ]ΥΣ;;цветок граната;198-161 гг. до н.э.;-198;-161;III;;SF0273;SF0273;;;;;"Клеймо фабрикантское – эргастериарха Аристокла-1.  198-161 гг. до н.э.  III хр. группа по Г. Финкильштайну.";
124;124;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;24;22;;;;"[Θ]ΑΣ[Ι(.)Ν] ΑΝ[......]";;часть эмблемы (?);Вторая половина IV-III вв. до н.э.;-400;-200;;;SF0263;SF0263;;;;;"Клеймо затёрто. не определяется.  Вторая половина IV-III вв. до н.э.";
125;125;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;36;32;;;;"ΝΑΥΠ[ΩΝΟ] Σ ΑΣΤ[Υ] ΝΟΜΟ[Υ] ΓΛΑΥΚΙΟ[Υ]";;нет;310-305 гг. до н.э.;-310;-305;;IVС;SF0271;SF0271;;;;;"Клеймо астинома Навпона.  310-305 гг. до н.э. по Н.Ф. Федосееву.  хр. гр. IVС по И. Гарлану.";
126;126;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;23;22;;;;"ΑΙΣ[ΧΙΝΟΥ] ΑΣΤ[ΥΝΟ(ΜΟΥ)] ΦΙΛ[ΟΚΡΑ(ΤΕΥΣ)]";;нет;355-345 гг. до н.э.;-355;-345;;II-A;SF0260;SF0260;;;;;"Клеймо астинома Эсхина-2.  355-345 гг. до н.э. по Н. Ф. Федосееву.  II-A хр. группа по И. Гарлану.";
127;127;ручка;полная;фото;позитивное;эпиграфное;овальное;37;12;;;;ΖΗΝΟΔΟΤ;;Внизу эмблема-палица влево;III-II вв. до н.э.;-300;-100;;;SF0267;SF0267;;;;;Ретроградное клеймо;
128;128;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;33;13;;;;не определяется;;нет;Середина III в. до н.э.;-270;-230;;;SF0347;SF0347;;;;;;
129;129;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;44;22;;;;"[Β]Ο[ΡΥ]ΟΣ [ΑΣΤ]ΥΝΟΜΟΥ [......]ΠΟΥ";;Справа внизу эмблема-голова (?) вправо.;297-290 гг. до н.э.;-297;-290;;;SF0258;SF0258;;;;;"Клеймо астинома Бория-1.  297-290 гг. до н.э. по Н.Ф. Федосееву.";
130;130;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;67;24;;;;"ΑΣΤΥΝΟΜΟΥΝΤ ΟΣ ΦΟΡΒΑ ΤΟΥ ΦΙΝ- Τ[ΙΟ]Σ ΓΛΑΥΚΙΑ";;Справа. внизу видна часть эмблемы-канфар.;320-310 гг. до н.э.;-320;-310;;;SF0293;SF0293;;;;;"Клеймо астинома Форбия-2.  320-310 гг. до н.э. по Н.Ф. Федосееву.";
131;131;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;33;17;;;;"Κ[...] [...] [....]";;нет;Вторая четверть-середина III в. до н.э.;-275;-230;;;SF0348;SF0348;;;;;Клеймо затёрто. не читается.;
132;132;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;14;13;;;;[………]ΟΣ;;нет;Конец III – начало II вв. до н.э.;-210;-190;;;SF0349;SF0349;;;;;"в точечной рамке. клеймо фрагментировано. не определяется.  Конец III – начало II вв. до н.э.";
133;133;ручка;полная;фото;позитивное;анэпиграфное;подпрямоугольное;26;17;;;;нет;;канфар. лист плюща и лабрис;IV в. до н.э.;-400;-300;;;SF0350;SF0350;;;;;Круг Фасоса (?);
134;134;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;42;22;;;;"[ΑΣΤΥΝΟΜΟ]Υ [ΠΟΣΙ]ΔΕΙΟΥ ΤΟΥ [ΗΦΑΙΣ]ΤΟΔΩΡΟ";;нет;315-305 гг. до н.э.;-315;-305;;;SF0280;SF0280;;;;;"Ретроградное клеймо. клеймо астинома Посидея (1). сына Гефестодора.  Синопа. 315-305 гг. до н.э. по Н.Ф. Федосееву.";
135;135;ручка;полная;фото;позитивное;эпиграфное;овальное;32;10;;;;ΤΕ;;нет;IV- III в. до н.э.;-400;-200;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0123X.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0123X.png;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0123Z.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0123Z.png;;;в виде монограммы. буквы в лигатуре.;
136;136;ручка;полная;фото;позитивное;эпиграфное;округлое;30;27;;;;ΕΠΙ ΞΕΝΟΦΑΝΕ[ΥΣ] ΣΜΙΝΘΙΟΥ;;цветок граната;Около 189 г. до н.э.;-190;-188;III(b);;SF0256;SF0256;;;;;"Клеймо эпонимное с указанием месяца. Хр. группа – III(b) по Г. Финкильштайну.  Родос. Около 189 г. до н.э.";
137;137;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;33;16;;;;"ΕΠΙ ΞΕΝΟ- ΦΑΝΕΥΣ";;лучезарная голова Гелиоса;Около 189 г. до н.э.;-190;-188;III(b);;SF0274;SF0274;;;;;"шрифт мелкий. в тонком рельефе.  Клеймо эпонимное. Хр. группа – III(b) по Г. Финкильштайну.  Родос. Около 189 г. до н.э.";
138;138;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;38;13;;;;DIODO;;нет;Вторая половина II в. до н.э.;-150;-100;;;SF0252;SF0252;;;;;"Сокращение имени Diodo(ti).  Апулия. италийский тип Lamb.-II. Вторая половина II в. до н.э.";
139;139;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;41;11;;;;[Ν]ΙΚΑΝΔΡΟ;;нет;Вторая четверть-конец II вв. до н.э.;-175;-100;;;SF0126;SF0126;;;;;"Клеймо относится к т.н. «группе Никандра».  Эфес (?). Вторая четверть-конец II вв. до н.э. по Г. Дж. Шенол.";
140;140;горло;неполная;фото;негативное;эпиграфное;без рамки;45;10;;;;"[ΣΤΥΦΩΝ]  [Δ]ΙΟΝΥΣΙΟΣ";;палица;70 гг. IV в. до н.э.;-380;-370;;;SF0264;SF0264;;;;;"Между строк видна часть эмблемы- палица вправо.  II-МГ(Б) по В.И. Кацу.  Гераклея. 70 гг. IV в. до н.э.";
141;141;горло;неполная;фото;негативное;анэпиграфное;овальное;18;14;;;;нет;;пальметта;Конец V – IV вв. до н.э.;-410;-300;;;SF0351;SF0351;;;;;"анэпиграфное клеймо в овальном поле (оттиск перстня?). Всё поле занимает изображение пальметки.  Хиос. Конец V – IV вв. до н.э.";
142;142;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;43;16;фабрикантское;;;Λ[Ι]ΝΟΥ;;гроздь винограда;145-108 гг. до н.э.;-145;-108;V;;SF0268;SF0268;;;;;"Хр. гр. V по Г. Финкильштайну.  Родос. 145-108 гг. до н.э.";
143;143;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;20;18;;;;"Τ[Ι] Μ[Ο]";;нет;304-271 гг. до н.э.;-304;-271;I (а);;SF0265;SF0265;;;;;"Клеймо эпонима Τιμο(-). Хр. гр. I(а) по Г. Финкильштайну.  Родос. 304-271 гг. до н.э.";
144;144;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;45;23;;;;"[ΑΣΤΥΝΟΜΟΥΝ]ΤΟΣ [ΔΙΟΝ]Υ[Σ]ΙΟΥ.ΤΟΥ [ΔΙΟΝ]ΝΥ[ΣΙΟΥ.ΤΟΥ] [ΚΛΕΙΤ]ΑΓ[ΟΡΟΥ] [ΑΓΑ]ΘΩΝ";;Справа две эмблемы восьмилучевая звезда и треножник с котлом;230-225 гг. до н.э.;-230;-225;;;SF0254;SF0254;;;;;"Клеймо астинома Дионисия. сына Дионисия. внука Клитагора. 230-225 гг. до н.э. по Н.Ф. Федосееву.";
145;145;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;35;12;;;;ΕΠ[Ι ---];;нет;II вв. до н.э.;-200;-100;;;SF0352;SF0352;;;;;Эпсилон лунарная шрифт небрежный. Клеймо затёрто. не определяется.;
146;146;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;31;16;;;;ΕΠΙ/ΤΗΛΕΦΑΝ/ΕΟΣ/ΘΑΣΙΟΝ;;кадуцей в центре;конец 30-х гг. IV в. до н.э.;-340;-330;;G-2;SF0251;SF0251;;;;;Хр. гр. G-2 по И. Гарлану. конец 30-х гг. IV в. до н.э.;
147;147;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;60;21;;;;"Η[ΡΑΚΛΕΙΔΟΥ] [Α]ΣΤΥΝΟ  [ΣΑ]ΓΑΡΙΟΣ";;Справа две эмблемы лист плюща и сидящий лев влево;325-315 гг. до н.э.;-325;-315;;;SF0299;SF0299;;;;;325-315 гг. до н.э. по Н.Ф. Федосееву.;
148;148;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;59;18;;;;"[ΠΡΩΤ]ΑΓΟΡΟ(Υ) ΑΣΤΥΝΟ(ΜΟΥ) ΦΙΛΟ]ΚΡ]Α(ΤΟΥΣ)";;Справа эмблема – две птицы. друг против друга;350-340 гг. до н.э.;-350;-340;;;SF0281;SF0281;;;;;"Клеймо астинома Протагора. 350-340 гг. до н.э.";
149;149;ручка;неполная;фото;позитивное;анэпиграфное;без рамки;15;13;;;;нет;;часть эмблемы (?);IV-III вв. до н.э.;-400;-200;;;SF0353;SF0353;;;;;;
150;150;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;28;17;фабрикантское;;;"Ζ[ΗΝΩ]- Ν[ΟΣ]";;нет;198-161 гг. до н.э.;-198;-161;III;;SF0262;SF0262;;;;;"Клеймо оббито. затёрто. III хр. гр. по Г. Финкильштайну. Родос. 198-161 гг. до н.э.";
151;151;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;33;18;;;;не определяется;;часть эмблемы (прора?);Вторая половина IV-III вв. до н.э.;-350;-200;;;SF0354;SF0354;;;;;"Сохранилась часть эмблемы в нижнем правом углу-прора? Клеймо повреждено не определяется.  Синопа. Вторая половина IV-III вв. до н.э.";
152;152;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;26;13;;;;"[ΑΣΤΥΝΟΜΟΥ] [ΠΥΘΟΚΛΕΟΥ]Σ [ΧΑΒΡΙ]ΟΥ";;Справа эмблема голова Сатира влево.;297-290 гг. до н.э.;-297;-290;;IV(С);SF0279;SF0279;;;;;"297-290 гг. до н.э. по Н.Ф. Федосееву.  Хр. гр. IV(С) по И. Гарлану.";
153;153;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;38;19;;;;"[---] [...]Υ ΤΟΥ [...]ΙΟΥ";;нет;Вторая половина IV – III вв. до н.э.;-350;-200;;;SF0355;SF0355;;;;;"Клеймо повреждено. не определяется. Синопа. Вторая половина IV – III вв. до н.э.";
154;154;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;39;17;;;;"ΑΣΤΥΝΟ[ΜΟΥ] ΧΑ[ΒΡΙΑ] [---]";;нет;350-340 гг. до н.э.;-350;-340;;II(А);SF0253;SF0253;;;;;"Часть клейма справа отбита. Третья строка не оттиснулась.  Мелкие сколы по клейму.  Клеймо астинома Хабрия. Хр. группа II(А) по И. Гарлану.  350-340 гг. до н.э. по Н.Ф. Федосееву.";
155;155;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;44;16;;;;"ΕΠ[Ι ΧΡΥ]ΣΑ[Ο] ΡΟΣ ΘΕΣ- [Μ]ΟΦΟΡΙΟΥ";;нет;107-88/86 гг. до н.э.;-107;-86;VI;;SF0250;SF0250;;;;;"Клеймо эпонимное с указанием месяца. Хр. группа VI по Г. Финкильштайну. 107-88/86 гг. до н.э.";
156;156;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;52;11;фабрикантское;;;[ΕΡ]ΜΑΙΟС;;нет;234-199 гг. до н.э.;-234;-199;II;;SF0276;SF0276;;;;;Хр. гр.-II. По Г. Финкильштайну. 234-199 гг. до н.э. Небрежный крупный шрифт. сигма и эпсилон. лунарные.;
157;157;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;54;19;;;;"ΕΠΙ ΕΝΔΗ(ΜΟΥ) ΒΑΤΙΣΚΟ(Σ)";;орел на дельфине;365 г. до н.э.;-365;-365;;I-B;SF0266;SF0266;;;;;"Клеймо эпонима Эндема.  Хр. гр. I-B по И. Гарлану.  365 г. до н.э. по Н.Ф. Федосееву.";
158;158;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;59;25;;;;"ΑΡΙΣΤΟΦΑΝΕΟΣ ΑΣΤΥΝΟ(ΜΟΥ) ΠΡΥΤΑ[ΝΙ(ΟΣ)]";;львиная морда в фас. морской конек;330-320 гг. до н.э.;-330;-320;;;SF0269;SF0269;;;;;"Клеймо астинома Аристофана.  330-320 гг. до н.э. по Н.Ф. Федосееву.";
159;159;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;62;23;;;;"[ΑΣΤΥΝΟΜΟΥ] ΙΦΙΟΣ ΤΟΥ ΖΩΠΥ- ΡΟΥ ΕΡΜΑΤΟΣ";;гроздь винограда;274-265 гг. до н.э.;-274;-265;;;SF0272;SF0272;;;;;"Клеймо астинома Ифия (2). сына Зопира.  274-265 гг. до н.э. по Н.Ф. Федосееву.";
160;160;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;60;22;;;;"[ΑΝΤΙΜΑ]ΧΟΥ ΑΣΤΥΝΟ Μ[...]";;Справа эмблема птица (голубь) вправо.;340-330 гг. до н.э.;-340;-330;;;SF0240;SF0240;;;;;"Клеймо астинома Антимаха-1. 340-330 гг. до н.э. по Федосееву.";
161;161;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;32;21;;;;"[ΑΠΑΤ]ΟΥΡΙΟΥ Α- [ΣΤΥΝΟ]ΜΟΥ[Ν]ΤΟ[Σ] [ΤΕΥΘ]ΡΑ";;канфар;300-296 гг. до н.э.;-300;-296;;;SF0270;SF0270;;;;;"Клеймо астинома Апатура. сына Атта. без упоминания патронимика.  300-296 гг. до н.э.";
162;162;горло;полная;фото;позитивное;эпиграфное;округлое;17;16;;;;ΕΡ;;нет;IV в. до н.э.;-400;-300;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0125X.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0125X.png;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0125Z.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0125Z.png;;;;
163;163;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;35;27;;;;[ΚΙΡ]Ω[Ν ΘΑ/ΣΙ(...) ΑΜΦ/Ι(...)];;ваза с волютообразными ручками;70-е гг. IV в. до н.э.;-370;-360;;C;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0121X.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0121X.png;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0121Z.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0121Z.png;;;"Магистрат ΑΜΦ/Ι(...).  Часть клейма утрачена обломом. нечеткий оттиск. потерто. смоление внутри.  Хронологическая группа C по И. Гарлану.  70-е гг. IV в. до н.э.";
164;164;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;35;18;;;;"[Ν]ΙΚΙΑΣ [ΜΕΓΩΝ]";;рука;344 – конец 30-х гг. IV до н.э.;-344;-330;;G-2;SF0278;SF0278;;;;;"Клеймо магистрата Никия. Хронологическая группа G-2 по И. Гарлану.  344 – конец 30-х гг. IV до н.э.";
